region	state_name	state_name_official	state_abbr	state_abbr_official	Entidad.Federativa
01	Aguascalientes	Aguascalientes	AGS	Ags.	AGUASCALIENTES
02	Baja California	Baja California	BC	BC	BAJA CALIFORNIA
03	Baja California Sur	Baja California Sur	BCS	BCS	BAJA CALIFORNIA SUR
04	Campeche	Campeche	CAMP	Camp.	CAMPECHE
05	Coahuila	Coahuila de Zaragoza	COAH	Coah.	COAHUILA
06	Colima	Colima	COL	Col.	COLIMA
07	Chiapas	Chiapas	CHPS	Chis.	CHIAPAS
08	Chihuahua	Chihuahua	CHIH	Chih.	CHIHUAHUA
09	Ciudad de México	Ciudad de México	CDMX	DF	CIUDAD DE MÉXICO
10	Durango	Durango	DGO	Dgo.	DURANGO
11	Guanajuato	Guanajuato	GTO	Gto.	GUANAJUATO
12	Guerrero	Guerrero	GRO	Gro.	GUERRERO
13	Hidalgo	Hidalgo	HGO	Hgo.	HIDALGO
14	Jalisco	Jalisco	JAL	Jal.	JALISCO
15	México	México	MEX	Mex.	MÉXICO
16	Michoacán	Michoacán de Ocampo	MICH	Mich.	MICHOACÁN
17	Morelos	Morelos	MOR	Mor.	MORELOS
18	Nayarit	Nayarit	NAY	Nay.	NAYARIT
19	Nuevo León	Nuevo León	NL	NL	NUEVO LEON
20	Oaxaca	Oaxaca	OAX	Oax.	OAXACA
21	Puebla	Puebla	PUE	Pue.	PUEBLA
22	Querétaro	Querétaro	QRO	Qro.	QUERETARO
23	Quintana Roo	Quintana Roo	QROO	Q. Roo	QUINTANA ROO
24	San Luis Potosí	San Luis Potosí	SLP	SLP	SAN LUIS POTOSÍ
25	Sinaloa	Sinaloa	SIN	Sin.	SINALOA
26	Sonora	Sonora	SON	Son.	SONORA
27	Tabasco	Tabasco	TAB	Tab.	TABASCO
28	Tamaulipas	Tamaulipas	TAM	Tamps.	TAMAULIPAS
29	Tlaxcala	Tlaxcala	TLAX	Tlax.	TLAXCALA
30	Veracruz	Veracruz de Ignacio de la Llave	VER	Ver.	VERACRUZ
31	Yucatán	Yucatán	YUC	Yuc.	YUCATAN
32	Zacatecas	Zacatecas	ZAC	Zac.	ZACATECAS
